店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
完全個室居酒屋 大宮いろり,050-5488-1339,,埼玉県,さいたま市大宮区,宮町1-41,,https://gjt4901.gorp.jp/,True
八重洲キッチン,050-2017-3742,,東京都,中央区,八重洲1-6-1,TOFROM YAESU TOWER1F,https://kitchen.dkdining.com/yaesu/,True
八重洲ハイボールバー,050-2018-0799,,東京都,中央区,八重洲1-6-1,TOFROMYAESU TOWER1F,https://highballbar-yaesu.com/,True
野良のまたたび,050-5488-4372,,新潟県,新潟市中央区,東大通2-9-1,サンハイツ1F,https://r981702.gorp.jp/,True
提灯居酒屋つどい,0285-32-6040,,栃木県,小山市,城山町3-15-3,アヤンビル2F,https://gjxc900.gorp.jp/,True
全席完全個室 青森郷土料理 ねぶた屋 秋葉原店,050-5489-5041,,東京都,千代田区,神田佐久間町1-24,GATO秋葉原ビル4F,https://gb4e215.gorp.jp/,True
完全個室完備 つむぎ蛍 秋葉原店,050-5489-5054,,東京都,千代田区,神田佐久間町1-24,GATO秋葉原ビル4F,https://gb4e216.gorp.jp/,True
鉄ぱん お好み焼き べんべえ,050-5489-5417,,広島県,広島市中区,大手町3-3-17,佐伯ビル1F,https://ya6h006.gorp.jp/,True
結びや 新横浜店,050-5487-9841,,神奈川県,横浜市港北区,新横浜2-3-11,第2徳永ビル8F,https://ggxg816.gorp.jp/,True
中華料理 華凛（かりん） 福岡 博多店,050-5489-3325,,福岡県,福岡市博多区,祇園町6-24,THE VOGUE by OAK VILLA6F,https://fc67600.gorp.jp/,True
Lei can ting 北千里店,050-5485-6546,,大阪府,吹田市,古江台3-8-2,北千里グリーンプレイスA棟1F,https://k262516.gorp.jp/,True
全席個室 楽蔵うたげ 横浜西口駅前店,050-2018-8879,,神奈川県,横浜市西区,北幸1-1-13,コンフォート178 6F,https://rakuzo.dkdining.com/yokohamawest/,True
"全席個室 楽蔵‐RAKUZO‐
池袋西口店",050-2018-8898,,東京都,豊島区,西池袋1-21-1,YKDビル3F,https://rakuzo.dkdining.com/ikebukuro/,True
横浜中華街 皇朝レストラン,050-5484-9830,,神奈川県,横浜市中区,山下町138-24,,https://kocho.gorp.jp/,True
全席個室居酒屋 黒毛和牛と牛タン kurosawa 横浜駅店,050-5494-5006,,神奈川県,横浜市神奈川区,鶴屋町2-23-8,ポルト横浜鶴屋町 6F,https://wagyu-kuro.com/yokohama/,True
全席個室 夢や京町しずく 八重洲店,050-2018-8853,,東京都,中央区,日本橋3-2-17,日本橋三丁目ビル2F,https://kyomachi.dkdining.com/yaesu/,True
博多中洲 遊食亭,050-5487-2439,,福岡県,福岡市博多区,中洲4-7-21,赤玉ビル2F,https://www.yushokutei.com/,True
全席個室 鮨と酒日和 ととうお 新丸の内センタービル店,050-2018-8847,,東京都,千代田区,丸の内1-6-2,新丸の内センタービルディング3F,https://totouo.dkdining.com/marunouchi/,True
和牛焼肉食べ放題 くいしん坊 大宮駅前店,050-5493-4835,,埼玉県,さいたま市大宮区,大門町1-6,1F,https://ghuy002.gorp.jp/,True
旨い魚と完全個室居酒屋 トロ政 横浜店,03-6835-1354,,神奈川県,横浜市神奈川区,鶴屋町1-41,ザ・ヨコハマフロントタワー1F,https://gjfn600.gorp.jp/,True
"個室ダイニング 楽蔵‐RAKUZO‐
神戸三宮駅前店",050-2018-8993,,兵庫県,神戸市中央区,北長狭通1-20-13,北野坂壱番館4・5F,https://rakuzo.dkdining.com/koubesannomiya/,True
十徳や 筑紫口店,050-5484-5597,,福岡県,福岡市博多区,博多駅東2-4-26,,https://jyutoku.tt-recruit.com/,True
"全席個室 楽蔵うたげ
有楽町駅前店",050-2018-8861,,東京都,千代田区,有楽町2-3-5,aune有楽町3F,https://rakuzo.dkdining.com/yurakucho/,True
全席個室 楽蔵うたげ 名古屋太閤通口店,050-2018-8967,,愛知県,名古屋市中村区,椿町15-2,名古屋ミタニビル4F,https://rakuzo.dkdining.com/nagoya-taiko/,True
全席個室 じぶんどき 新宿東口駅前店,050-2018-8897,,東京都,新宿区,新宿3-36-10,ミラザビル5F,https://jibundoki.dkdining.com/shinjuku/,True
全席個室 楽蔵うたげ 八重洲店,050-2018-8849,,東京都,中央区,日本橋3-2-16,マスヤビル1～4Ｆ,https://rakuzo.dkdining.com/yaesu/,True
全席個室 湊一や 日本橋八重洲店,050-2018-8851,,東京都,中央区,日本橋2-3-4,日本橋プラザビル2F,https://minatoichiya.dkdining.com/nihonbashi/,True
博多海鮮 さかな市場,050-5486-0453,,福岡県,福岡市博多区,博多駅前1-15-20,,https://jyutoku.tt-recruit.com/,True
個室 和食 居酒屋 ほたる 難波（なんば）店,050-5488-0564,,大阪府,大阪市中央区,難波1-5-20,フェローズビル3F,https://ke4h901.gorp.jp/,True
寿司居酒屋 すなおや 新大阪店,050-5484-8593,,大阪府,大阪市淀川区,西中島7-14-35,,https://k821701.gorp.jp/,True
"全席個室 楽蔵‐RAKUZO‐
新宿東口店",050-2018-8895,,東京都,新宿区,新宿3-26-2,新宿第二ビル2F,https://rakuzo.dkdining.com/shinjuku/,True
魚座 池袋店,03-6907-3936,,東京都,豊島区,西池袋1-23-6,B1F,https://ggpb114.gorp.jp/,True
"世界の創作京風ダイニング
京月 梅田阪急32番街店",050-5487-7491,,大阪府,大阪市北区,角田町8-47,阪急グランドビル31F,https://ka25502.gorp.jp/,True
